Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
77.5,77.5,77.625,77.5
77.5,77.5,77.75,77.55
77.5,77.5,77.75,77.5833333333333
77.75,77.5626068115234,77.75,77.6071428571429
77.5,77.550048828125,77.75,77.625
77.5,77.5416717529297,77.75,77.6428571428571
78,77.6075744628906,77.75,77.7142857142857
77.75,77.6255340576172,77.75,77.7857142857143
77.75,77.639518737793,77.875,77.8571428571429
77.75,77.6507263183594,78,77.9285714285714
78,77.6830291748047,78,78
78,77.7099990844727,78,78.0357142857143
78.25,77.752571105957,78,78.0714285714286
78.25,77.7891311645508,78,78.1428571428571
78.25,77.8208847045898,78.125,78.1785714285714
78.25,77.8487319946289,78.25,78.1785714285714
78,77.8580169677734,78.25,78.2142857142857
78.25,77.880859375,78.25,78.25
78.25,77.9013519287109,78.25,78.25
78.25,77.9198455810547,78.25,78.25
78,77.9239196777344,78.25,78.2142857142857
78.25,77.9398345947266,78.25,78.2142857142857
78.25,77.9544143676758,78.25,78.2142857142857
78.25,77.9678192138672,78.25,78.1785714285714
78.25,77.9801864624023,78.125,78.1071428571429
77.75,77.9704132080078,78,78.0357142857143
78.25,77.9819259643555,78,77.9642857142857
77.75,77.9726486206055,77.875,77.8928571428571
78,77.9737167358398,77.75,77.7857142857143
77.5,77.9557418823242,77.75,77.7142857142857
77.5,77.9388732910156,77.75,77.6785714285714
77.5,77.9230041503906,77.75,77.6428571428571
77.75,77.9168853759766,77.75,77.6071428571429
77.5,77.9024505615234,77.75,77.5714285714286
77.75,77.8972778320312,77.75,77.5357142857143
77.75,77.8923721313477,77.75,77.5714285714286
77.5,77.8795471191406,77.75,77.5714285714286
77.5,77.8673553466797,77.625,77.6071428571429
77.5,77.8557510375977,77.625,77.6071428571429
77.5,77.8446884155273,77.625,77.6428571428571
77.75,77.8417892456055,77.75,77.6428571428571
77.5,77.8314743041992,77.75,77.6071428571429
77.75,77.8290481567383,77.75,77.6428571428571
77.75,77.8267288208008,77.75,77.6785714285714
77.75,77.8245010375977,77.75,77.7142857142857
77.75,77.8223648071289,77.75,77.75
77.5,77.813232421875,77.75,77.75
77.75,77.8114624023438,77.75,77.7916666666667
78,77.8166961669922,77.75,77.8
78,77.8217315673828,77.75,77.8125
